city;iso3;FREQ;1st arrival;1st arrival transport;2nd arrival;2nd arrival transport;3rd arrival;3rd arrival transport;4th arrival;4th arrival transport
Dalian;CHN;1;1997-10-06;NA;;;;;;
Shenyang;CHN;1;2000-03-17;NA;;;;;;
Yantai (Penglai);CHN;1;2009-07-01;S;;;;;;
Tai'an;CHN;1;2009-07-01;B;;;;;;
Qingdao;CHN;1;2009-07-01;B;;;;;;
Jinan;CHN;1;2009-07-01;B;;;;;;
Beijing;CHN;2;2013-08-01;T;2016-12-04;F;;;;
Jilin;CHN;1;2016-07-01;T;;;;;;
Xi'an;CHN;1;2018-11-14;F;;;;;;
Chengdu;CHN;1;2018-11-18;T;;;;;;
Chongqing;CHN;1;2018-11-21;T;;;;;;
Nice;FRA;1;2017-03-07;F;;;;;;
Villfranche-sur-Mer;FRA;1;2017-03-07;T;;;;;;
Èze;FRA;2;2017-03-07;T;2019-11-09;T;;;;
Antibes;FRA;1;2017-03-07;NA;;;;;;
Cannes;FRA;1;2017-03-07;NA;;;;;;
Menton;FRA;1;2017-03-07;NA;;;;;;
Grasse;FRA;1;2017-03-07;NA;;;;;;
Marseille;FRA;1;2020-06-26;B;;;;;;
Paris;FRA;4;2017-10-30;T;2020-08-05;F;2022-05-17;F;2024-02-20;F
Moscow;RUS;1;2017-03-07;A;;;;;;
Monaco (Monte Carlo);MCO;2;2017-04-17;T;2019-09-11;T;;;;
Ventimiglia;ITA;1;2017-06-03;T;;;;;;
Milan (Milano);ITA;2;2017-06-03;T;2020-01-01;F;;;;
Pisa;ITA;2;2017-06-04;T;2020-06-30;T;;;;
Venice (Venezia);ITA;2;2018-10-22;B;2020-07-03;T;;;;
Rimini;ITA;1;2018-10-23;B;;;;;;
Bologna;ITA;1;2019-12-21;B;;;;;;
Rome (Roma);ITA;2;2020-01-29;F;2023-05-02;T;;;;
Florence (Firenze);ITA;1;2020-06-30;T;;;;;;
Catania;ITA;2;2021-07-05;F;2021-12-17;F;;;;
Rotterdam;NLD;1;2020-02-22;B;;;;;;
Istanbul;TUR;1;2018-01-26;F;;;;;;
Kayseri (Cappadocia);TUR;1;2018-01-30;F;;;;;;
Lisbon (Lisboa);PRT;2;2018-03-04;F;2020-07-06;F;;;;
Porto;PRT;1;2018-03-07;F;;;;;;
