
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2022-06-28,FR1604,"Kerkira / Ioannis Kapodistrias (CFU/LGKR)","Marseille / Marseille Provence (MRS/LFML)",09:40:00,10:55:00,02:15:00,"Ryanair (FR/RYR)","Boeing 737-800 (B738)",EI-EKO,4A,1,0,0,,531,1928,668,231
2022-06-25,FR7444,"Marseille / Marseille Provence (MRS/LFML)","Kerkira / Ioannis Kapodistrias (CFU/LGKR)",10:25:00,13:30:00,02:05:00,"Malta Air (AL/MAY)","Boeing 737-800 (B738)",9H-QDI,4A,1,0,0,,1928,531,2723,231
2022-05-17,U23062,"Nice / Nice Cote D'Azur (NCE/LFMN)","Paris / Charles de Gaulle (CDG/LFPG)",06:15:00,07:55:00,01:40:00,"easyJet Europe (EC/EJU)","Airbus A320-200 (A320)",OE-ICP,8E,2,0,0,,2027,509,2665,2059
2022-03-18,W68299,"Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF)","Nice / Nice Cote D'Azur (NCE/LFMN)",16:30:00,17:50:00,01:20:00,"Wizz Air (W6/WZZ)","Airbus A321neo (A21N)",,,0,0,0,,872,2027,859,2128
2022-03-18,EK97,"Dubai / Dubai International (DXB/OMDB)","Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF)",09:10:00,13:25:00,06:15:00,"Emirates (EK/UAE)","Boeing 777-300ER (B77W)",A6-EGS,,0,0,0,,768,872,807,2023
2022-03-17,EK375,"Bangkok / Suvarnabhumi (BKK/VTBS)","Dubai / Dubai International (DXB/OMDB)",09:55:00,13:00:00,06:05:00,"Emirates (EK/UAE)","Airbus A380-800 (A388)",A6-EEI,,0,0,0,,331,768,807,39
2022-03-16,EK385,"Hong Kong / Hong Kong International (HKG/VHHH)","Bangkok / Suvarnabhumi (BKK/VTBS)",21:30:00,23:45:00,03:15:00,"Emirates (EK/UAE)","Boeing 777-300ER (B77W)",A6-ECO,,0,0,0,,1135,331,807,2023
2021-12-26,AY101,"Helsinki / Vantaa (HEL/EFHK)","Hong Kong / Hong Kong International (HKG/VHHH)",16:55:00,08:40:00,10:45:00,"Finnair (AY/FIN)","Airbus A350-900 (A359)",OH-LWG,,0,0,0,,1110,1135,304,2110
2021-12-26,AY1602,"Nice / Nice Cote D'Azur (NCE/LFMN)","Helsinki / Vantaa (HEL/EFHK)",11:20:00,15:35:00,03:15:00,"Finnair (AY/FIN)","Airbus A320-200 (A320)",OH-LXL,,0,0,0,,2027,1110,304,2059
2021-12-22,FR164,"Vienna / Schwechat (VIE/LOWW)","Marseille / Marseille Provence (MRS/LFML)",07:05:00,09:05:00,02:00:00,"Lauda Air (NG/LDA)","Airbus A320-200 (A320)",9H-LMC,,0,0,0,,3179,1928,467,2059
